epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.187,1.94875,4.47141,1.03686,0,0,0,0,1.54618,4.35482,0.93486,0.0001125,0.0001125,0.0001125
2,167.041,1.74242,3.17816,0.91631,0.00326,0.0807,0.00657,0.00129,1.48206,4.16411,0.87381,0.000235149,0.000235149,0.000235149
3,245.72,1.56459,2.3152,0.89584,0.00131,0.03243,0.00148,0.00072,1.30468,3.83304,0.85574,0.000355322,0.000355322,0.000355322
4,326.383,1.46851,2.03626,0.89443,0.01797,0.49323,0.13184,0.07897,1.1931,3.41299,0.83744,0.000473021,0.000473021,0.000473021
5,409.345,1.33052,1.91351,0.88747,0.03416,0.93306,0.32428,0.16993,1.47627,3.15787,0.88146,0.000588245,0.000588245,0.000588245
6,487.997,1.35746,1.75891,0.87229,0.04393,0.97697,0.42321,0.25983,1.41114,2.76991,0.86055,0.000700994,0.000700994,0.000700994
7,564.777,1.32182,1.66518,0.87507,0.04241,0.97032,0.45909,0.31372,1.02196,2.61419,0.82007,0.000811267,0.000811267,0.000811267
8,643.939,1.20097,1.59354,0.86415,0.47058,0.6406,0.51721,0.35394,1.04945,2.37986,0.82192,0.000919066,0.000919066,0.000919066
9,724.308,1.26182,1.53077,0.86201,0.4634,0.40696,0.51292,0.33388,1.05522,2.12021,0.82693,0.00102439,0.00102439,0.00102439
10,804.333,1.13115,1.4349,0.86062,0.42604,0.59821,0.56662,0.41818,0.90358,1.8775,0.8085,0.00112724,0.00112724,0.00112724
11,889.174,1.05008,1.48907,0.84581,0.51344,0.77737,0.60021,0.45689,0.79907,1.83897,0.79895,0.00112625,0.00112625,0.00112625
12,971.908,1.0819,1.45324,0.84441,0.45839,0.79101,0.57559,0.45095,0.73456,1.58685,0.79044,0.00111388,0.00111388,0.00111388
13,1052.69,0.98912,1.33816,0.83416,0.42988,0.70878,0.56244,0.40581,0.91638,1.62947,0.80927,0.0011015,0.0011015,0.0011015
14,1138.68,0.95874,1.35089,0.82898,0.49656,0.75634,0.65461,0.4829,0.7904,1.6062,0.79963,0.00108913,0.00108913,0.00108913
15,1224.91,0.96155,1.40718,0.83243,0.5408,0.81227,0.65392,0.51117,0.73444,1.51239,0.79328,0.00107675,0.00107675,0.00107675
16,1309.21,0.89249,1.30261,0.83124,0.58525,0.79464,0.69883,0.5256,0.72792,1.27523,0.79538,0.00106437,0.00106437,0.00106437
17,1390.74,0.8319,1.262,0.82244,0.50856,0.7687,0.69766,0.54251,0.75833,1.40954,0.79257,0.001052,0.001052,0.001052
18,1470.4,0.83215,1.20904,0.82147,0.57762,0.81653,0.73572,0.5966,0.65049,1.22861,0.78671,0.00103962,0.00103962,0.00103962
19,1542.7,0.78068,1.14353,0.82086,0.46943,0.78537,0.6227,0.51127,0.60807,1.48537,0.77962,0.00102725,0.00102725,0.00102725
